hex,flight,r,t,alt_baro,lat_rnd,lon_rnd,ICAOTypeCode,Manufacturer,OperatorFlagCode,RegisteredOwners,Type
a7b7fb,LXJ597  ,N597FX,CL30,ground,37.7,-122.2,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a31dc6,EDG151  ,N30JE,GLF4,ground,37.7,-122.2,G300,Gulfstream Aerospace,EDG,Jet Edge,G300
a13687,JAS61   ,N1777M,GLF6,ground,37.7,-122.2,G650,Gulfstream Aerospace,JAS,Jet Aviation Flight Services,G650 ER
a68981,LXJ520  ,N520FX,CL30,ground,37.7,-122.2,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a07bfe,EDG30   ,N130JE,GLF4,ground,37.7,-122.2,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
a22753,TWY4    ,N238MH,GLF4,ground,37.7,-122.2,G450,Gulfstream Aerospace,TWY,Solairus Aviation,G450
ad5dbc,N960SF  ,N960SF,F900,ground,37.7,-122.2,F9EX,Dassault,F9EX,BNT International Corp,Falcon 900EX
a2c14d,00000000,N277JH,CL30,ground,37.7,-122.2,CL35,Bombardier,CL35,Lughnasa Management LLC,Challenger 350
a3176d,N299FG  ,N299FG,F900,ground,37.7,-122.2,F9EX,Dassault,F9EX,Bechtel Corp,Falcon 900EX EASy
adc979,N988GG  ,N988GG,GLEX,ground,37.7,-122.2,GLEX,Bombardier,GLEX,Amys Kitchen Inc,Global Express
a1c8bd,N214DV  ,N214DV,FA50,ground,37.7,-122.2,F5EX,Dassault,F5EX,Listwin Ventures LLC,Falcon 50EX
a30017,N2926E  ,N2926E,CL30,ground,37.7,-122.1,CL35,Bombardier,CL35,CTP Aviation,Challenger 350
a62433,GDG495  ,N495RS,GLF4,ground,37.7,-122.1,G450,Gulfstream Aerospace,GDG,SP Aviation Inc,G450
ada2f5,N978SH  ,N978SH,CL30,ground,37.7,-122.1,CL35,Bombardier,CL35,CTP Aviation,Challenger 350
a54eb1,N441DT  ,N441DT,G280,ground,37.7,-121.8,G280,Gulfstream Aerospace,G280,Family Dollar LLC,G280
a96890,EJA705  ,N705QS,CL30,ground,37.7,-97.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a12d2f,EJA175  ,N175QS,GLEX,ground,37.7,-97.4,GL7T,Bombardier,EJA,NetJets,Global 7500
a35dfc,N316K   ,N316K,CL30,ground,37.7,-97.4,CL35,Bombardier,CL35,Corporate Jet Leasing Company LLC,Challenger 350
a9c8b8,N73AF   ,N73AF,GLEX,ground,37.7,-97.4,GLEX,Bombardier,GLEX,American Fidelity Corp,Global Express XRS
a0f31d,EJA160  ,N160QS,GLEX,ground,37.7,-97.4,GL6T,Bombardier,EJA,NetJets,Global 6000
0d0d9f,XASBT   ,XA-SBT,GLF4,ground,37.7,-25.7,GLF4,Gulfstream Aerospace,GLF4,Heli Ejecutivo SA de CV,GIV
a51d5d,N429DD  ,N429DD,GLF4,ground,37.7,-25.7,GLF4,Gulfstream Aerospace,GLF4,Basurven Servicios Sanitarios CA,GIV SP
a0017b,N1RB    ,N1RB,CL30,ground,37.9,-121.3,CL30,Bombardier,CL30,BAC Transportation Inc,Challenger 300
a0017b,N1RB    ,N1RB,CL30,ground,37.9,-121.2,CL30,Bombardier,CL30,BAC Transportation Inc,Challenger 300
4d20d6,VJT827  ,9H-VJJ,GLEX,ground,37.9,23.9,GL6T,Bombardier,VJT,VistaJet,Global 6000
407c02,GMA040B ,G-VTLY,GLEX,ground,37.9,23.9,GL6T,Bombardier,VXS,Voluxis Ltd,Global 6000
4d20d6,VJT827  ,9H-VJJ,GLEX,ground,37.9,24.0,GL6T,Bombardier,VJT,VistaJet,Global 6000
407c02,GMA040B ,G-VTLY,GLEX,ground,37.9,24.0,GL6T,Bombardier,VXS,Voluxis Ltd,Global 6000
a33a30,EJM37   ,N307JW,CL30,ground,38.0,-122.1,CL30,Bombardier,EJM,Executive Jet Management,Challenger 300
468111,HAF352A ,273,FA7X,ground,38.1,23.6,,---,,---,---
a37ec7,N324SL  ,N324SL,F900,ground,38.2,-122.3,F9EX,Dassault,F9EX,DAA2 Holdings LLC,Falcon 900EX
a2cba6,TWY84   ,N28AD,GLF4,ground,38.2,-122.3,G450,Gulfstream Aerospace,TWY,Solairus Aviation,G450
ac95ba,N91QK   ,N91QK,CL30,ground,38.2,-122.3,CL30,Bombardier,EDG,Jet Edge,Challenger 300
a678cf,TFF909  ,N516MC,GLF4,ground,38.2,-122.3,G400,Gulfstream Aerospace,TFF,Talon Air,G400
a690ef,LXJ522  ,N522FX,CL30,ground,38.2,-122.3,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a9ea32,EJA738  ,N738QS,CL30,ground,38.2,-122.3,CL35,Bombardier,EJA,NetJets,Challenger 350
a8b82a,        ,N661CH,GLF6,ground,38.2,-122.3,G650,Gulfstream Aerospace,G650,JP Morgan Chase Bank,G650 ER
a40b12,N36MM   ,N36MM,GLEX,ground,38.2,-122.3,GLEX,Bombardier,GLEX,JAGS Leasing LLC,Global Express XRS
a6ddb9,XOJ541  ,N541XJ,CL30,ground,38.2,-122.3,CL30,Bombardier,EDG,Jet Edge,Challenger 300
a9a2cf,        ,N72SM,CL30,ground,38.2,-122.3,CL35,Bombardier,CL35,Select Medical Corp,Challenger 350
4b8642,TCARB   ,TC-ARB,CL30,ground,38.3,27.2,CL30,Bombardier,CL30,Arkasair Havacilik,Challenger 300
aa1ab5,N750GX  ,N750GX,GLEX,ground,38.5,-122.8,,---,,---,---
a22f57,N24TH   ,N24TH,FA7X,ground,38.5,-122.8,FA7X,Dassault,PVA,Planet Nine Private Air,Falcon 7X
adc979,N988GG  ,N988GG,GLEX,ground,38.5,-122.8,GLEX,Bombardier,GLEX,Amys Kitchen Inc,Global Express
a67a34,N5161   ,N5161,CL30,ground,38.5,-122.8,,---,,---,---
a3cc2b,N344AA  ,N344AA,GLF4,ground,38.5,-122.8,GLF4,Gulfstream Aerospace,GLF4,Absolutamente LLC,GIV
a6f7ba,XOJ548  ,N548XJ,CL30,ground,38.7,-121.4,CL30,Bombardier,XOJ,XO,Challenger 300
a4c00d,N405JS  ,N405JS,GLF4,ground,38.7,-77.5,GLF4,Gulfstream Aerospace,JRE,flyExclusive,GIV SP
a1344a,N177MJ  ,N177MJ,FA50,ground,38.8,-94.9,FA50,Dassault,FA50,IAL Corp,Falcon 50
424b05,MAAAL   ,M-AAAL,GLF6,ground,38.8,-9.1,G650,Gulfstream Aerospace,G650,Global Jet IOM Ltd,G650
4d2148,ULC34   ,9H-FCB,FA7X,ground,38.8,-9.1,FA7X,Dassault,ULC,Albinati Aviation Ltd,Falcon 7X
342294,MGO101  ,EC-JIL,GLEX,ground,38.8,-9.1,,---,,---,---
a7f349,PWA611  ,N611JM,GLF4,ground,38.9,-77.5,GLF4,Gulfstream Aerospace,PWA,Priester Aviation,GIV
a54b6c,N440JG  ,N440JG,CL30,ground,38.9,-77.5,CL35,Bombardier,JTZ,Nicholas Air,Challenger 350
acc5cc,N922CB  ,N922CB,GLF4,ground,38.9,-77.5,G450,Gulfstream Aerospace,G450,Axella 2 LLC,G450
4d2065,VJT719  ,9H-VJA,GLEX,ground,38.9,-77.5,GL6T,Bombardier,VJT,VistaJet,Global 6000
a0cf55,EJA151  ,N151QS,GLEX,ground,38.9,-77.5,GL6T,Bombardier,EJA,NetJets,Global 6000
aadf08,N8VB    ,N8VB,GLEX,ground,38.9,-77.5,GL6T,Bombardier,GL6T,Paramount Pictures Corp,Global 6000
a1658d,N1898B  ,N1898B,FA7X,ground,38.9,-77.5,FA8X,Dassault,FA8X,BNT International Corp,Falcon 8X
ac7e90,OKC904  ,N904FL,E35L,ground,38.9,-77.5,E35L,Embraer,OKC,Private Jets Inc,Legacy 600
a7f349,PWA611  ,N611JM,GLF4,ground,38.9,-77.4,GLF4,Gulfstream Aerospace,PWA,Priester Aviation,GIV
a6b86e,LXJ532  ,N532FX,CL30,ground,38.9,-77.4,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a54b6c,N440JG  ,N440JG,CL30,ground,38.9,-77.4,CL35,Bombardier,JTZ,Nicholas Air,Challenger 350
ac7fc2,N904TS  ,N904TS,GLF4,ground,38.9,-77.4,G450,Gulfstream Aerospace,G450,DSWA LLC,G450
ad5dbc,N960SF  ,N960SF,F900,ground,38.9,-77.4,F9EX,Dassault,F9EX,BNT International Corp,Falcon 900EX
4d2065,VJT719  ,9H-VJA,GLEX,ground,38.9,-77.4,GL6T,Bombardier,VJT,VistaJet,Global 6000
a0cf55,EJA151  ,N151QS,GLEX,ground,38.9,-77.4,GL6T,Bombardier,EJA,NetJets,Global 6000
ac7e90,OKC904  ,N904FL,E35L,ground,38.9,-77.4,E35L,Embraer,OKC,Private Jets Inc,Legacy 600
ab525a,N829AR  ,N829AR,GLF6,ground,38.9,-77.4,G650,Gulfstream Aerospace,G650,Route 66 LLC,G650
3c5c48,BTX8H   ,D-AGBH,FA7X,ground,38.9,-77.4,FA7X,Dassault,BTX,Volkswagen Air Service GmbH,Falcon 7X
aa5cf8,EJA767  ,N767QS,CL30,ground,38.9,-77.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a0b6b2,EJA145  ,N145QS,GLEX,ground,38.9,-77.4,GL6T,Bombardier,EJA,NetJets,Global 6000
a145b8,KPO181  ,N181PR,GLF4,ground,39.0,-77.5,GLF4,Gulfstream Aerospace,KPO,Wing Aviation Group,GIV SP
aa84a1,N777SJ  ,N777SJ,FA7X,ground,39.0,-77.5,FA7X,Dassault,FA7X,SLC Aviation I LLC,Falcon 7X
a7f349,PWA611  ,N611JM,GLF4,ground,39.0,-77.5,GLF4,Gulfstream Aerospace,PWA,Priester Aviation,GIV
ac3625,N886WT  ,N886WT,GLF6,ground,39.0,-77.5,G650,Gulfstream Aerospace,LXJ,Flexjet,G650 ER
a624a6,KPO495  ,N495WG,GLF4,ground,39.0,-77.5,GLF4,Gulfstream Aerospace,KPO,Wing Aviation Group,GIV
a0765e,GJE1209 ,N129NS,GLF4,ground,39.0,-77.5,GLF4,Gulfstream Aerospace,GLF4,Alliance Aviation Group LLC,GIV SP
a0017b,N1RB    ,N1RB,CL30,ground,39.0,-77.5,CL30,Bombardier,CL30,BAC Transportation Inc,Challenger 300
acc5cc,N922CB  ,N922CB,GLF4,ground,39.0,-77.5,G450,Gulfstream Aerospace,G450,Axella 2 LLC,G450
4d2065,VJT719  ,9H-VJA,GLEX,ground,39.0,-77.5,GL6T,Bombardier,VJT,VistaJet,Global 6000
a0cf55,EJA151  ,N151QS,GLEX,ground,39.0,-77.5,GL6T,Bombardier,EJA,NetJets,Global 6000
aadf08,N8VB    ,N8VB,GLEX,ground,39.0,-77.5,GL6T,Bombardier,GL6T,Paramount Pictures Corp,Global 6000
a1658d,N1898B  ,N1898B,FA7X,ground,39.0,-77.5,FA8X,Dassault,FA8X,BNT International Corp,Falcon 8X
ac7e90,OKC904  ,N904FL,E35L,ground,39.0,-77.5,E35L,Embraer,OKC,Private Jets Inc,Legacy 600
e491b5,PRCRC   ,PR-CRC,G280,ground,39.0,-77.5,G280,Gulfstream Aerospace,G280,Natureza Prod Art E Public SS Ltda,G280
a7743f,JAS182  ,N58HA,CL30,ground,39.0,-77.5,CL30,Bombardier,JAS,Jet Aviation Flight Services,Challenger 300
42476c,VPCZB   ,VP-CZB,GLF6,ground,39.0,-77.5,G650,Gulfstream Aerospace,PJS,Jet Aviation Business Jets AG,G650
a01b3a,GAJ106  ,N106CK,F900,ground,39.0,-77.5,F9EX,Dassault,GAJ,Gama Aviation Signature,Falcon 900EX EASy
a18845,        ,N1980K,GLF6,ground,39.0,-77.4,G650,Gulfstream Aerospace,G650,Noel Air LLC,G650 ER
a7f349,PWA611  ,N611JM,GLF4,ground,39.0,-77.4,GLF4,Gulfstream Aerospace,PWA,Priester Aviation,GIV
a6b86e,LXJ532  ,N532FX,CL30,ground,39.0,-77.4,CL30,Bombardier,LXJ,Flexjet,Challenger 300
ac3625,N886WT  ,N886WT,GLF6,ground,39.0,-77.4,G650,Gulfstream Aerospace,LXJ,Flexjet,G650 ER
a00cef,EDG48   ,N102JE,GLF4,ground,39.0,-77.4,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
ac0564,N874C   ,N874C,GLF4,ground,39.0,-77.4,GLF4,Gulfstream Aerospace,GLF4,Trans-Exec Air Service Inc,GIV SP
a54b6c,N440JG  ,N440JG,CL30,ground,39.0,-77.4,CL35,Bombardier,JTZ,Nicholas Air,Challenger 350
ac7fc2,N904TS  ,N904TS,GLF4,ground,39.0,-77.4,G450,Gulfstream Aerospace,G450,DSWA LLC,G450
a0765e,GJE1209 ,N129NS,GLF4,ground,39.0,-77.4,GLF4,Gulfstream Aerospace,GLF4,Alliance Aviation Group LLC,GIV SP
a18e7d,N2N     ,N2N,GLF6,ground,39.0,-77.4,G650,Gulfstream Aerospace,G650,Marmalade Skies LLC,G650
ad5dbc,N960SF  ,N960SF,F900,ground,39.0,-77.4,F9EX,Dassault,F9EX,BNT International Corp,Falcon 900EX
4d2065,VJT719  ,9H-VJA,GLEX,ground,39.0,-77.4,GL6T,Bombardier,VJT,VistaJet,Global 6000
a0cf55,EJA151  ,N151QS,GLEX,ground,39.0,-77.4,GL6T,Bombardier,EJA,NetJets,Global 6000
a1658d,N1898B  ,N1898B,FA7X,ground,39.0,-77.4,FA8X,Dassault,FA8X,BNT International Corp,Falcon 8X
ac7e90,OKC904  ,N904FL,E35L,ground,39.0,-77.4,E35L,Embraer,OKC,Private Jets Inc,Legacy 600
ab525a,N829AR  ,N829AR,GLF6,ground,39.0,-77.4,G650,Gulfstream Aerospace,G650,Route 66 LLC,G650
3c5c48,BTX8H   ,D-AGBH,FA7X,ground,39.0,-77.4,FA7X,Dassault,BTX,Volkswagen Air Service GmbH,Falcon 7X
aa5cf8,EJA767  ,N767QS,CL30,ground,39.0,-77.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a0b6b2,EJA145  ,N145QS,GLEX,ground,39.0,-77.4,GL6T,Bombardier,EJA,NetJets,Global 6000
a17907,N194WM  ,N194WM,GLF6,ground,39.0,-77.4,G650,Gulfstream Aerospace,G650,Challenger Administration LLC,G650 ER
a7c522,N60CK   ,N60CK,CL30,ground,39.0,-77.4,CL35,Bombardier,EDG,Jet Edge,Challenger 350
aacc07,EJA795  ,N795QS,CL30,ground,39.0,-77.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a6d03b,XOJ538  ,N538XJ,CL30,ground,39.0,-77.4,CL30,Bombardier,XOJ,XO,Challenger 300
a07fda,JCY131  ,N131KS,CL30,ground,39.1,-108.5,CL30,Bombardier,CL30,Springbok LLC,Challenger 300
abb9eb,N855A   ,N855A,G280,ground,39.1,-94.6,G280,Gulfstream Aerospace,G280,StoneX Group Inc,G280
a8dc52,N670GD  ,N670GD,GLF6,ground,39.1,-75.5,,---,,---,---
a620a4,CJE494  ,N494TG,E35L,ground,39.1,-75.5,E35L,Embraer,CJE,Custom Jet Charters LLC,Legacy 600
a7890e,LXJ585  ,N585FX,CL30,ground,39.2,-76.7,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a6eb12,LXJ545  ,N545FX,CL30,ground,39.2,-76.7,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a7d308,WMN603  ,N603GP,CL30,ground,39.2,-76.7,CL35,Bombardier,WMN,Trident Aircraft Inc,Challenger 350
a88dbb,N650LG  ,N650LG,GLF4,ground,39.3,-123.8,G450,Gulfstream Aerospace,G450,Leonard Green & Partners LP,G450
a88dbb,N650LG  ,N650LG,GLF4,ground,39.3,-123.7,G450,Gulfstream Aerospace,G450,Leonard Green & Partners LP,G450
a6a382,LXJ527  ,N527FX,CL30,ground,39.3,-94.7,CL30,Bombardier,LXJ,Flexjet,Challenger 300
aadae3,EJA799  ,N799QS,CL30,ground,39.3,-94.7,CL35,Bombardier,EJA,NetJets,Challenger 350
a2d957,N283CE  ,N283CE,G280,ground,39.3,-85.9,G280,Gulfstream Aerospace,G280,Cummins Inc,G280
a2d59e,N282CC  ,N282CC,G280,ground,39.3,-85.9,G280,Gulfstream Aerospace,G280,Cummins Inc,G280
ac7029,NSH900  ,N900LC,F900,ground,39.3,-76.4,F900,Dassault,NSH,Sterling Aviation,Falcon 900 C
ac2cd7,N884BN  ,N884BN,F900,ground,39.3,-76.4,F9LX,Dassault,WMN,Trident Aircraft Inc,Falcon 900LX
a74887,N569BW  ,N569BW,FA50,ground,39.3,-76.4,FA50,Dassault,FA50,Worldwide Options LLC,Falcon 50
a82ddd,N626PS  ,N626PS,CL30,ground,39.5,-119.8,CL30,Bombardier,CL30,Westwind Investors Management Company LLC,Challenger 300
a5e790,N48PL   ,N48PL,GLF4,ground,39.5,-119.8,G450,Gulfstream Aerospace,G450,Schubach Aviation,G450
a9ea32,EJA738  ,N738QS,CL30,ground,39.5,-119.8,CL35,Bombardier,EJA,NetJets,Challenger 350
a732a2,LXJ563  ,N563FX,CL30,ground,39.5,-107.7,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a3ea68,XOJ351  ,N351VJ,CL30,ground,39.5,-107.7,CL35,Bombardier,XOJ,XO,Challenger 350
a13060,        ,N176KH,GLF6,ground,39.5,-107.7,G650,Gulfstream Aerospace,G650,Global Transport Two LLC,G650 ER
a1b3f1,JTL209  ,N209FB,G280,ground,39.5,-107.7,G280,Gulfstream Aerospace,JTL,Jet Linx Aviation,G280
a57a1d,LXJ452  ,N452FX,GLF4,ground,39.5,-107.7,G450,Gulfstream Aerospace,LXJ,Flexjet,G450 LXI
ad823e,N97KS   ,N97KS,FA50,ground,39.5,-74.6,FA50,Dassault,FA50,WRM Aviation LLC,Falcon 50
407761,LNX10KG ,G-KGKG,E35L,ground,39.5,-0.5,,---,,---,---
34520d,GES201D ,EC-MMD,GLEX,ground,39.5,2.7,GLEX,Bombardier,GES,Gestair Executive Jet SA,Global Express XRS
43ea70,MINTY   ,M-INTY,G280,ground,39.5,2.7,G280,Gulfstream Aerospace,G280,Hampshire Aviation Ltd,G280
a9b9f5,N726BF  ,N726BF,GLEX,ground,39.6,-106.9,GLEX,Bombardier,GLEX,ACI Jet,Global Express XRS
a62665,JCY211  ,N496AC,FA7X,ground,39.6,-106.9,FA7X,Dassault,JCY,Aerius Management,Falcon 7X
a95a3c,N701WC  ,N701WC,GLF4,ground,39.6,-106.9,G450,Gulfstream Aerospace,G450,Kalihiwai Aviation LLC,G450
ac9256,EJM909  ,N909TT,E35L,ground,39.6,-104.9,E35L,Embraer,EJM,Executive Jet Management,Legacy 600
c01022,HRT042  ,C-FGCV,CL30,ground,39.6,-104.9,CL30,Bombardier,HRT,Chartright Air,Challenger 300
a89c29,LXJ654  ,N654FX,GLF6,ground,39.6,-104.9,,---,,---,---
a1d821,N218KF  ,N218KF,CL30,ground,39.6,-104.9,CL30,Bombardier,CL30,KW Flight LLC,Challenger 300
a32010,N300HQ  ,N300HQ,CL30,ground,39.6,-104.9,CL30,Bombardier,CL30,Comerica Leasing,Challenger 300
a9a2cf,        ,N72SM,CL30,ground,39.6,-104.9,CL35,Bombardier,CL35,Select Medical Corp,Challenger 350
a1344a,N177MJ  ,N177MJ,FA50,ground,39.6,-104.9,FA50,Dassault,FA50,IAL Corp,Falcon 50
a62665,JCY211  ,N496AC,FA7X,ground,39.6,-104.9,FA7X,Dassault,JCY,Aerius Management,Falcon 7X
aac0e2,N792QS  ,N792QS,CL30,ground,39.6,-104.9,CL35,Bombardier,EJA,NetJets,Challenger 350
a00273,N10AZ   ,N10AZ,F900,ground,39.6,-104.9,F900,Dassault,F900,Anschutz Corp,Falcon 900 B
a944ec,N697CC  ,N697CC,G280,ground,39.6,-104.9,G280,Gulfstream Aerospace,G280,Henry Crown & Company,G280
a4e822,N415QS  ,N415QS,GLF4,ground,39.6,-104.9,G450,Gulfstream Aerospace,EJA,NetJets,G450
ab2144,N816SP  ,N816SP,GLF4,ground,39.6,-104.9,GLF4,Gulfstream Aerospace,GLF4,Lockton Enterprises Inc,GIV SP
aaed05,FGR803  ,N803AC,FA50,ground,39.6,-104.8,FA50,Dassault,FGR,Trans-Pacific Air Charter,Falcon 50
ac9256,EJM909  ,N909TT,E35L,ground,39.6,-104.8,E35L,Embraer,EJM,Executive Jet Management,Legacy 600
c01022,HRT042  ,C-FGCV,CL30,ground,39.6,-104.8,CL30,Bombardier,HRT,Chartright Air,Challenger 300
a491af,EJM159  ,N394AK,GLF4,ground,39.6,-104.8,GLF4,Gulfstream Aerospace,EJM,Executive Jet Management,GIV SP
a89c29,LXJ654  ,N654FX,GLF6,ground,39.6,-104.8,,---,,---,---
a1d821,N218KF  ,N218KF,CL30,ground,39.6,-104.8,CL30,Bombardier,CL30,KW Flight LLC,Challenger 300
a32010,N300HQ  ,N300HQ,CL30,ground,39.6,-104.8,CL30,Bombardier,CL30,Comerica Leasing,Challenger 300
a9a2cf,        ,N72SM,CL30,ground,39.6,-104.8,CL35,Bombardier,CL35,Select Medical Corp,Challenger 350
a1344a,N177MJ  ,N177MJ,FA50,ground,39.6,-104.8,FA50,Dassault,FA50,IAL Corp,Falcon 50
a62665,JCY211  ,N496AC,FA7X,ground,39.6,-104.8,FA7X,Dassault,JCY,Aerius Management,Falcon 7X
aac0e2,N792QS  ,N792QS,CL30,ground,39.6,-104.8,CL35,Bombardier,EJA,NetJets,Challenger 350
a00273,N10AZ   ,N10AZ,F900,ground,39.6,-104.8,F900,Dassault,F900,Anschutz Corp,Falcon 900 B
a944ec,N697CC  ,N697CC,G280,ground,39.6,-104.8,G280,Gulfstream Aerospace,G280,Henry Crown & Company,G280
a4e822,N415QS  ,N415QS,GLF4,ground,39.6,-104.8,G450,Gulfstream Aerospace,EJA,NetJets,G450
ab2144,N816SP  ,N816SP,GLF4,ground,39.6,-104.8,GLF4,Gulfstream Aerospace,GLF4,Lockton Enterprises Inc,GIV SP
aa6a0d,N770LM  ,N770LM,FA7X,ground,39.6,-104.8,FA7X,Dassault,FA7X,Liberty Media Corp,Falcon 7X
34520d,GES201D ,EC-MMD,GLEX,ground,39.6,2.7,GLEX,Bombardier,GES,Gestair Executive Jet SA,Global Express XRS
a3a15b,N333EC  ,N333EC,GLF4,ground,39.6,2.7,GLF4,Gulfstream Aerospace,GLF4,Flying Falcon Inc,GIV SP
43ea70,MINTY   ,M-INTY,G280,ground,39.6,2.7,G280,Gulfstream Aerospace,G280,Hampshire Aviation Ltd,G280
a57412,N450WB  ,N450WB,GLF4,ground,39.7,-86.3,G450,Gulfstream Aerospace,G450,Bindley Aviation LLC,G450
a01cab,N106TD  ,N106TD,GLF4,ground,39.7,-86.3,GLF4,Gulfstream Aerospace,GLF4,Bopper Airways LLC,GIV SP
a63b75,N500RP  ,N500RP,G280,ground,39.7,-86.3,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
a95514,N700FJ  ,N700FJ,GLF4,ground,39.7,-86.3,GLF4,Gulfstream Aerospace,JPT,Prime Jet,GIV SP
a83c9b,N63NM   ,N63NM,GLF4,ground,39.7,-86.3,GLF4,Gulfstream Aerospace,GLF4,Century Jets,GIV
a02062,N107TD  ,N107TD,GLF4,ground,39.7,-86.3,GLF4,Gulfstream Aerospace,GLF4,Bopper Airways LLC,GIV SP
a13044,EDG17   ,N176JE,GLF4,ground,39.8,-104.7,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
a192cd,FWK40   ,N200JB,CL30,ground,39.8,-104.7,CL35,Bombardier,FWK,FlightWorks Inc,Challenger 350
ac3bd0,EJM88   ,N888CS,GLF4,ground,39.8,-104.7,GLF4,Gulfstream Aerospace,WWI,Worldwide Jet Charter,GIV SP
a1b3f1,JTL209  ,N209FB,G280,ground,39.8,-104.7,G280,Gulfstream Aerospace,JTL,Jet Linx Aviation,G280
a952bc,N70FK   ,N70FK,F900,ground,39.8,-89.7,F9LX,Dassault,PRD,Presidential Aviation,Falcon 900LX
aab109,JCY900  ,N7883K,F900,ground,39.9,-105.1,F9EX,Dassault,JCY,Aerius Management,Falcon 900EX EASy
a2e10c,        ,N285FA,G280,ground,39.9,-105.1,G280,Gulfstream Aerospace,EJM,Executive Jet Management,G280
a0fa8b,EJA162  ,N162QS,GLEX,ground,39.9,-105.1,GL6T,Bombardier,EJA,NetJets,Global 6000
a1b3b3,N209CQ  ,N209CQ,F900,ground,39.9,-105.1,F9EX,Dassault,F9EX,42K RE Management LLC,Falcon 900EX
a13044,EDG17   ,N176JE,GLF4,ground,39.9,-104.7,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
a48a07,N3918Y  ,N3918Y,GLF4,ground,39.9,-75.2,G450,Gulfstream Aerospace,GAJ,Gama Aviation Signature,G450
a05544,JTL120  ,N120SB,GLF4,ground,39.9,-75.2,GLF4,Gulfstream Aerospace,JTL,Jet Linx Aviation,GIV SP
ac3cbd,N888ND  ,N888ND,GLF4,ground,39.9,-75.2,G450,Gulfstream Aerospace,G450,NPM Equipment Leasing LLC,G450
a6eb12,LXJ545  ,N545FX,CL30,ground,39.9,-75.2,CL30,Bombardier,LXJ,Flexjet,Challenger 300
aa95ac,EJA781  ,N781QS,CL30,ground,39.9,-75.2,CL35,Bombardier,EJA,NetJets,Challenger 350
ad81a1,EJM200  ,N97DK,CL30,ground,39.9,-75.2,CL30,Bombardier,EJM,Executive Jet Management,Challenger 300
aaa0d1,EJA784  ,N784QS,CL30,ground,39.9,-75.2,CL35,Bombardier,EJA,NetJets,Challenger 350
a30017,N2926E  ,N2926E,CL30,ground,39.9,-75.2,CL35,Bombardier,CL35,CTP Aviation,Challenger 350
a3a178,N333FG  ,N333FG,GLF4,ground,39.9,-75.2,GLF4,Gulfstream Aerospace,GLF4,Aviation Charters Inc,GIV SP
a364d7,N318DC  ,N318DC,GLF4,ground,39.9,-75.2,G450,Gulfstream Aerospace,GAJ,Gama Aviation Signature,G450
a66b9e,N5123   ,N5123,FA50,ground,40.0,-82.9,FA50,Dassault,FA50,TPI Aircraft Interiors LLC,Falcon 50
a0cf55,EJA151  ,N151QS,GLEX,ground,40.0,-82.9,GL6T,Bombardier,EJA,NetJets,Global 6000
a0cb44,N150MB  ,N150MB,CL30,ground,40.0,-82.9,CL30,Bombardier,CL30,Craft Charter,Challenger 300
a3418e,N309JE  ,N309JE,CL30,ground,40.0,-82.9,CL30,Bombardier,EDG,Jet Edge,Challenger 300
ab9dd4,N848CS  ,N848CS,CL30,ground,40.0,-82.9,CL30,Bombardier,CL30,JBW Eagle LLC,Challenger 300
a000f9,N1KX    ,N1KX,FA7X,ground,40.1,-76.3,FA7X,Dassault,FA7X,Johnson Law Group,Falcon 7X
a78557,LXJ584  ,N584FX,CL30,ground,40.1,-76.3,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a109ef,N166WC  ,N166WC,CL30,ground,40.1,-76.3,CL30,Bombardier,CL30,Washington Corp,Challenger 300
4bb748,TCMZH   ,TC-MZH,GLF4,ground,40.1,33.0,GLF4,Gulfstream Aerospace,GLF4,Bonair Havacilik,GIV SP
a9b9f5,N726BF  ,N726BF,GLEX,ground,40.2,-111.7,GLEX,Bombardier,GLEX,ACI Jet,Global Express XRS
a57337,N450MH  ,N450MH,GLF4,ground,40.2,-76.8,G450,Gulfstream Aerospace,G450,Leading Edge Operations Co,G450
a9a2cf,        ,N72SM,CL30,ground,40.2,-76.8,CL35,Bombardier,CL35,Select Medical Corp,Challenger 350
a0d30c,EJA152  ,N152QS,GLEX,ground,40.2,-74.1,GL6T,Bombardier,EJA,NetJets,Global 6000
a83dbe,N630AB  ,N630AB,CL30,ground,40.2,-74.1,CL35,Bombardier,CL35,Berlin Aviation LLC,Challenger 350
ab2ba3,LJY819  ,N819JR,CL30,ground,40.3,-79.4,,---,,---,---
